-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME|COLUMN_NAME                                                        |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                                    |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30103|any    |SAPS4D     |EKKO      |KONNR                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KORNR                                                              |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KTWRT                                                              |       1|           2|    15|PREFIXED   |NONE      |DECIMAL(FIXED)  |                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KUFIX                                                              |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KUNNR                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |LANDS                                                              |       1|          12|     3|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |LBLIF                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |LEGAL_CONTRACT                                                     |       1|           2|    40|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |LIFNR                                                              |       1|        3933|    10|INDIRECT   |FULL      |NVARCHAR(STRING)|                 |     1|NO      |Index EKKO~H7Y                              |        0.37|        0.18|          0|       18255467|         5640|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |LIFRE                                                              |       1|        3794|    10|INDIRECT   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.17|         0.0|          0|        1659554|            0|2021/08/30 23:14:55|
