---------------------------------------------------------------------------------
|PARAMETERS                 |NUM|LAST_TIME          |SOURCE                     |
|'400', '500107222920210001'|  6|2021/08/31 01:52:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212820210001'|  6|2021/08/31 01:52:25|M_EXPENSIVE_STATEMENTS     |
|'400', '500107226120210001'|  6|2021/08/31 01:51:04|M_EXPENSIVE_STATEMENTS     |
|'400', '500107226020210001'|  6|2021/08/31 01:43:53|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223920210001'|  6|2021/08/31 01:42:53|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219220210001'|  6|2021/08/31 01:07:11|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222420210001'|  6|2021/08/31 01:06:53|M_EXPENSIVE_STATEMENTS     |
|'400', '490613720520210001'|  6|2021/08/31 01:06:49|M_EXPENSIVE_STATEMENTS     |
|'400', '490613720420210001'|  6|2021/08/31 01:06:37|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222320210001'|  6|2021/08/31 01:06:28|M_EXPENSIVE_STATEMENTS     |
|'400', '490613720320210001'|  6|2021/08/31 01:06:28|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222220210001'|  6|2021/08/31 00:58:44|M_EXPENSIVE_STATEMENTS     |
|'400', '490613715620210001'|  6|2021/08/31 00:58:19|M_EXPENSIVE_STATEMENTS     |
|'400', '490613715420210001'|  6|2021/08/31 00:57:48|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221420210001'|  6|2021/08/31 00:57:18|M_EXPENSIVE_STATEMENTS     |
|'400', '490613716320210001'|  6|2021/08/31 00:57:02|M_EXPENSIVE_STATEMENTS     |
|'400', '490613716220210001'|  6|2021/08/31 00:56:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222120210001'|  6|2021/08/31 00:56:25|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223220210001'|  6|2021/08/31 00:55:57|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223020210001'|  6|2021/08/31 00:55:40|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222020210001'|  6|2021/08/31 00:55:39|M_EXPENSIVE_STATEMENTS     |
|'400', '500107209920210001'|  6|2021/08/31 00:55:22|M_EXPENSIVE_STATEMENTS     |
|'400', '490613715320210001'|  6|2021/08/31 00:54:13|M_EXPENSIVE_STATEMENTS     |
|'400', '490613715220210001'|  6|2021/08/31 00:53:57|M_EXPENSIVE_STATEMENTS     |
|'400', '490613715120210001'|  6|2021/08/31 00:53:22|M_EXPENSIVE_STATEMENTS     |
|'400', '500107220920210001'|  6|2021/08/31 00:52:41|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221320210001'|  6|2021/08/31 00:52:09|M_EXPENSIVE_STATEMENTS     |
|'400', '500107220820210001'|  6|2021/08/31 00:51:01|M_EXPENSIVE_STATEMENTS     |
|'400', '490613722820210001'|  6|2021/08/31 01:28:41|M_EXPENSIVE_STATEMENTS     |
|'400', '490613722720210001'|  6|2021/08/31 01:28:28|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224720210001'|  6|2021/08/31 01:28:25|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224620210001'|  6|2021/08/31 01:28:04|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224520210001'|  6|2021/08/31 01:27:45|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224420210001'|  6|2021/08/31 01:27:21|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212620210001'|  6|2021/08/31 01:27:11|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224320210001'|  6|2021/08/31 01:26:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224220210001'|  6|2021/08/31 01:26:29|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224120210001'|  6|2021/08/31 01:26:09|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224020210001'|  6|2021/08/31 01:25:48|M_EXPENSIVE_STATEMENTS     |
