---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME      |COLUMN_NAME              |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                            |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR                    |       3|           0|    12|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR_ORG                |       3|           0|    12|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR_ORG                |       1|           1|    12|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR_ORG                |      32|          -1|    12|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFPS                    |       3|           0|     4|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFPS                    |      32|          -1|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFPS                    |       1|           1|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGBL                    |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGBL                    |       1|           1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGBL                    |      32|          -1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGDT                    |      32|          -1|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGDT                    |       1|           1|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGDT                    |       3|           0|     8|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGGJ                    |       3|           0|     4|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGGJ                    |      32|          -1|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUGGJ                    |       1|           1|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUTYP                    |       2|           2|     2|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.42|         0.0|          0|              0|            0|2021/07/09 15:15:05|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUTYP                    |      28|          -1|     2|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.93|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUTYP                    |       3|          -1|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.01|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUTYP                    |       3|           0|     2|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITEM                   |       5|         902|     6|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |       866.8|         0.0|          0|              0|            0|2021/07/09 15:15:36|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITEM                   |       2|          -1|     6|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |         0.0|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITEM                   |      29|          -1|     6|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        3.31|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITGRP                  |       3|           0|     6|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITGRP                  |      32|          -1|     6|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWITGRP                  |       1|           1|     6|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |       2|          -1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |         0.0|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |      14|          -1|    10|INDIRECT   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.05|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |       1|        6139|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        1.45|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |       1|     1444237|    10|INDIRECT   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |      987.98|         0.0|          0|              0|            0|2021/07/09 15:15:25|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG                    |      15|          -1|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        3.84|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG_REV                |       2|        1265|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.09|         0.0|          0|              0|            0|2021/07/09 15:15:37|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG_REV                |      23|          -1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.14|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG_REV                |       8|          -1|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.41|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWORG_REV                |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF                    |      13|          -1|    10|RLE        |BLOCK     |NVARCHAR(STRING)|                 |     0|NO      |Index ACDOCA~AWR                    |       12.59|       10.39|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF                    |       2|      169191|    10|INDIRECT   |FULL      |NVARCHAR(STRING)|                 |     1|NO      |Index ACDOCA~AWR                    |     1861.09|     1227.25|          0|              0|            0|2021/07/09 15:15:33|
