-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME|INDEX_NAME                                                                             |CONSTRAINT|INDEX_TYPE           |COLUMN_NAME                                                      |SPAN|MEMORY_MB|NUM_DISTINCT|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |MEINS                                                            |   1|     0.09|          14|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |PARENT_ID                                                        |   1|     0.34|         428|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |PPRCTR                                                           |   1|      1.1|         225|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |PRCTR                                                            |   1|      1.0|         179|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |RSPOS                                                            |   1|     0.14|          87|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |SAKTO                                                            |   1|     0.16|         137|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |SPE_BUDAT_ZONE                                                   |   1|     0.14|          15|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |TBPOS                                                            |   1|     0.17|         363|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |UMLGO                                                            |   1|     0.27|         690|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |UMWRK                                                            |   1|      0.2|          37|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |UMWRK_CID                                                        |   1|     0.22|          37|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |VPRSV                                                            |   1|     0.07|           3|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |WERKS                                                            |   1|     0.42|          42|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |XPRINT                                                           |   1|     0.01|           5|
|SAPS4D     |T156      |T156~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|MANDT                                                            |   2|     0.01|           3|
|SAPS4D     |T156      |T156~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|BWART                                                            |   0|      0.0|         321|
|SAPS4D     |T156      |implicit                                                                               |          |INVERTED VALUE       |BWART                                                            |   1|      0.0|         321|
|SAPS4D     |T156      |implicit                                                                               |          |INVERTED VALUE       |MANDT                                                            |   1|      0.0|           3|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
